iter	Passed	Remaining
529	26078	23125
530	26116	23066
531	26159	23012
532	26214	22968
533	26256	22913
534	26311	22869
535	26357	22816
536	26397	22759
537	26440	22705
538	26488	22655
539	26533	22602
540	26576	22548
541	26627	22500
542	26669	22445
543	26714	22392
544	26752	22334
545	26795	22280
546	26843	22230
547	26890	22179
548	26935	22127
549	26979	22074
550	27031	22027
551	27071	21971
552	27123	21924
553	27175	21877
554	27227	21831
555	27268	21775
556	27311	21721
557	27347	21662
558	27394	21611
559	27443	21563
560	27485	21508
561	27531	21456
562	27574	21403
563	27620	21351
564	27667	21301
565	27717	21253
566	27758	21198
567	27806	21148
568	27846	21092
569	27889	21039
570	27931	20985
571	27971	20929
572	28015	20876
573	28065	20828
574	28106	20774
575	28150	20721
576	28198	20672
577	28242	20620
578	28287	20568
579	28332	20516
580	28374	20462
581	28414	20407
582	28484	20374
583	28523	20318
584	28570	20268
585	28622	20221
586	28678	20177
587	28733	20133
588	28782	20084
589	28824	20030
590	28862	19973
591	28906	19921
592	28958	19875
593	29004	19824
594	29048	19772
595	29085	19715
596	29135	19667
597	29176	19613
598	29216	19558
599	29266	19511
600	29311	19459
601	29362	19412
602	29408	19362
603	29447	19306
604	29493	19256
605	29536	19203
606	29575	19148
607	29615	19094
608	29665	19046
609	29713	18996
610	29757	18945
611	29804	18895
612	29845	18842
613	29887	18789
614	29934	18739
615	29975	18686
616	30019	18634
617	30066	18584
618	30112	18534
619	30153	18481
620	30199	18430
621	30250	18383
622	30288	18328
623	30330	18276
624	30371	18223
625	30413	18170
626	30450	18114
627	30489	18060
628	30530	18007
629	30566	17951
630	30605	17897
631	30652	17848
632	30702	17800
633	30742	17747
634	30783	17694
635	30820	17639
636	30859	17585
637	30901	17533
638	30949	17484
639	30989	17431
640	31034	17381
641	31080	17331
642	31128	17283
643	31175	17233
644	31221	17184
645	31265	17132
646	31307	17081
647	31352	17031
648	31411	16988
649	31463	16941
650	31505	16889
651	31562	16846
652	31604	16794
653	31651	16745
654	31688	16690
655	31734	16641
656	31781	16592
657	31827	16542
658	31876	16494
659	31916	16441
660	31963	16392
661	32003	16340
662	32044	16288
663	32097	16242
664	32143	16192
665	32193	16145
666	32239	16095
667	32286	16046
668	32343	16002
669	32388	15952
670	32431	15901
671	32482	15854
672	32521	15801
673	32565	15751
674	32613	15702
675	32657	15652
676	32696	15599
677	32745	15551
678	32795	15504
679	32835	15452
680	32880	15402
681	32923	15351
682	32969	15302
683	33016	15253
684	33055	15200
685	33105	15153
686	33148	15102
687	33196	15054
688	33236	15002
689	33282	14953
690	33330	14904
691	33376	14855
692	33425	14807
693	33477	14761
694	33523	14711
695	33584	14668
696	33642	14625
697	33685	14574
698	33736	14527
699	33782	14478
700	33826	14428
701	33862	14374
702	33905	14324
703	33943	14271
704	33979	14218
705	34025	14169
706	34074	14121
707	34114	14069
708	34161	14021
709	34199	13968
710	34242	13918
711	34282	13867
712	34321	13815
713	34357	13762
714	34397	13711
715	34433	13658
716	34470	13605
717	34523	13559
718	34574	13512
719	34625	13465
720	34671	13416
721	34719	13368
722	34761	13317
723	34806	13268
724	34847	13217
725	34889	13167
726	34932	13117
727	34974	13067
728	35013	13016
729	35064	12968
730	35106	12918
731	35146	12867
732	35194	12819
733	35244	12772
734	35291	12724
735	35336	12674
736	35380	12625
737	35427	12577
738	35466	12526
739	35505	12474
740	35545	12424
741	35592	12375
742	35636	12326
743	35684	12278
744	35723	12227
745	35767	12178
746	35814	12129
747	35864	12082
748	35906	12032
749	35943	11981
750	35978	11929
751	36018	11878
752	36055	11826
753	36105	11779
754	36150	11730
755	36211	11687
756	36262	11640
757	36302	11590
758	36349	11541
759	36398	11494
760	36442	11445
761	36487	11396
762	36527	11346
763	36574	11297
764	36620	11249
765	36670	11202
766	36764	11168
767	36814	11121
768	36863	11073
769	36912	11025
770	36964	10979
771	37026	10935
772	37065	10884
773	37111	10836
774	37154	10786
775	37194	10736
776	37246	10689
777	37296	10642
778	37338	10592
779	37380	10543
780	37424	10494
781	37467	10444
782	37507	10394
783	37579	10353
784	37628	10305
785	37668	10255
786	37721	10209
787	37765	10160
788	37807	10110
789	37851	10061
790	37905	10015
791	37954	9967
792	38004	9920
793	38054	9873
794	38093	9822
795	38136	9773
796	38194	9728
797	38233	9678
798	38280	9630
799	38321	9580
800	38364	9531
801	38411	9483
802	38449	9432
803	38484	9381
804	38529	9333
805	38570	9283
806	38620	9236
807	38657	9186
808	38699	9136
809	38740	9087
810	38780	9037
811	38834	8991
812	38897	8946
813	38940	8897
814	38993	8851
815	39043	8803
816	39110	8760
817	39152	8711
818	39201	8663
819	39249	8615
820	39298	8568
821	39340	8518
822	39385	8470
823	39430	8422
824	39478	8374
825	39527	8326
826	39565	8276
827	39612	8228
828	39647	8178
829	39683	8127
830	39721	8078
831	39762	8029
832	39805	7980
833	39850	7931
834	39894	7883
835	39937	7834
836	39973	7784
837	40029	7738
838	40073	7689
839	40115	7641
840	40157	7592
841	40197	7542
842	40232	7492
843	40280	7445
844	40318	7395
845	40365	7347
846	40415	7300
847	40458	7252
848	40507	7204
849	40546	7155
850	40586	7106
851	40631	7057
852	40678	7010
853	40723	6962
854	40769	6914
855	40811	6865
856	40849	6816
857	40895	6768
858	40942	6720
859	40984	6671
860	41030	6623
861	41072	6575
862	41108	6525
863	41155	6478
864	41198	6429
865	41246	6382
866	41302	6335
867	41343	6287
868	41381	6238
869	41421	6189
870	41466	6141
871	41514	6093
872	41552	6044
873	41601	5997
874	41638	5948
875	41685	5900
876	41725	5852
877	41765	5803
878	41800	5754
879	41848	5706
880	41893	5658
881	41942	5611
882	41989	5563
883	42025	5514
884	42070	5466
885	42111	5418
886	42152	5369
887	42197	5322
888	42239	5273
889	42280	5225
890	42329	5178
891	42370	5130
892	42410	5081
893	42458	5034
894	42505	4986
895	42555	4939
896	42608	4892
897	42656	4845
898	42697	4796
899	42735	4748
900	42778	4700
901	42815	4651
902	42857	4603
903	42906	4556
904	42949	4508
905	42996	4461
906	43038	4413
907	43077	4364
908	43115	4316
909	43173	4269
910	43223	4222
911	43262	4174
912	43304	4126
913	43352	4079
914	43395	4031
915	43438	3983
916	43489	3936
917	43537	3889
918	43582	3841
919	43626	3793
920	43678	3746
921	43717	3698
922	43756	3650
923	43799	3602
924	43843	3554
925	43880	3506
926	43917	3458
927	43961	3410
928	44001	3362
929	44042	3314
930	44081	3267
931	44116	3218
932	44153	3170
933	44199	3123
934	44247	3076
935	44289	3028
936	44336	2981
937	44386	2933
938	44428	2886
939	44474	2838
940	44518	2791
941	44556	2743
942	44610	2696
943	44676	2650
944	44731	2603
945	44772	2555
946	44819	2508
947	44860	2460
948	44902	2413
949	44945	2365
950	44997	2318
951	45042	2271
952	45079	2223
953	45119	2175
954	45168	2128
955	45209	2080
956	45248	2033
957	45294	1985
958	45337	1938
959	45384	1891
960	45420	1843
961	45465	1795
962	45516	1748
963	45560	1701
964	45604	1654
965	45651	1606
966	45703	1559
967	45752	1512
968	45790	1464
969	45837	1417
970	45884	1370
971	45929	1323
972	45969	1275
973	46014	1228
974	46056	1180
975	46101	1133
976	46145	1086
